Questions,Response
How does a thermostat control temperature,It senses the room’s temperature and tells the heater or AC to turn on or off.
Why do we wear pajamas to bed,"They’re soft and comfy, helping us sleep better."
What makes a blanket feel warm,It traps body heat and keeps cold air out.
How does a ceiling fan spin,Electricity powers a motor that turns the blades.
Why do we need keys to open locks,Keys match the shape inside the lock to turn it open.
What makes a candle melt,Heat from the flame softens and melts the wax.
How does a dishwasher clean dishes,Hot water and soap spray onto dishes to wash off food.
Why do curtains block sunlight,Their fabric stops light from passing through.
What makes a bed feel soft,Cushions and padding spread out your weight gently.
How does a smoke alarm work,It senses smoke particles and makes a loud sound.
Why do we use towels after a bath,Towels soak up water from our skin.
What makes a drawer slide open,Rails and rollers help it move smoothly.
How does a lightbulb burn out,The tiny wire inside breaks after lots of use.
Why do we use soap in the shower,Soap lifts dirt and oil so water can rinse it away.
What makes a sponge absorb water,It has tiny holes that soak up liquid like a sponge.
How does a doorbell ring,Pressing the button sends electricity to make a sound.
Why do we wear slippers indoors,They keep feet warm and protect them from hard floors.
What makes a mirror foggy after a shower,Steam from hot water sticks to the glass.
How does a fan help dry clothes,It moves air around to carry away moisture.
What makes paper crinkle,Bending or folding breaks its smooth surface.
How does a glue stick work,Rubbing it spreads sticky glue that dries and holds things together.
Why do we use folders for papers,They keep papers organized and safe.
What makes a backpack heavy,Books and supplies add weight inside.
How does a pencil sharpener spin,Turning the handle moves blades that shave the pencil tip.
Why do we use lined paper,Lines help us write neatly and straight.
What makes a whiteboard shiny,Its smooth surface reflects light.
How does a school bell sound loud,Electricity powers a hammer that hits the bell.
Why do we use bookmarks,They help us find our place in a book.
What makes a chalkboard dusty,Chalk leaves powder when it’s rubbed on the board.
How does a computer mouse move the cursor,It senses movement and sends signals to the screen.
Why do we use binders,They hold papers together with rings.
What makes a pen run out of ink,The ink gets used up as we write.
How does a keyboard type letters,Pressing keys sends signals to the computer.
Why do we use sticky notes,"They’re small and sticky, perfect for reminders."
What makes a desk wobble,Uneven legs or loose screws make it unstable.
How does a globe show countries,It’s a round map of Earth with labels.
Why do we use rulers in math,To measure and draw straight lines.
What makes a pencil eraser wear down,Rubbing it removes marks and slowly wears it out.
How does a timer count seconds,It uses a clock inside to track time.
What makes butter melt,Heat softens the fat and turns it into liquid.
How does a toaster pop up,A spring releases when the timer ends.
Why do we refrigerate leftovers,Cold slows down bacteria so food stays fresh longer.
What makes soup hot,Heat from the stove warms the liquid.
How does a spoon hold liquid,Its curved shape keeps the liquid inside.
Why do we stir drinks,To mix flavors and ingredients evenly.
What makes cheese stretchy,Melted proteins stretch when heated.
How does a pan cook food,Heat from the stove transfers through the metal.
Why do we use napkins,To clean our hands and mouth while eating.
What makes bread crunchy,Heat removes moisture and crisps the surface.
How does a lid keep food warm,It traps heat and steam inside.
Why do we use straws,They help us sip drinks easily.
What makes ice cubes cloudy,Air and minerals freeze inside the cube.
How does a cutting board protect counters,It gives a safe surface for chopping.
Why do we use oven mitts,They protect our hands from hot pans.
What makes tea change color,The leaves release color and flavor into water.
How does a whisk mix ingredients,Its loops stir and blend things quickly.
Why do we use measuring cups,To get the right amount of ingredients.
What makes fruit juicy,Water and sugar inside the fruit make it moist.
How does a colander drain water,Holes let water out while keeping food in.
What makes tree bark rough,Layers of old wood protect the tree.
How does a leaf stay on a branch,A stem connects it tightly until it falls.
Why do birds build nests,To keep their eggs safe and warm.
What makes grass tickle our feet,Thin blades brush against our skin.
How does a cloud move,Wind pushes it across the sky.
Why do bugs hide under rocks,"It’s cool, dark, and safe from predators."
What makes rain smell fresh,Water mixes with oils and dust in the air.
How does a spider climb walls,Tiny hairs grip surfaces like Velcro.
Why do flowers close at night,They rest and protect their pollen.
What makes dirt stick to shoes,Moisture helps soil cling to surfaces.
How does a butterfly land so gently,Its light body and wings slow it down.
Why do bees buzz near flowers,They’re collecting nectar and pollen.
What makes tree roots grow deep,They search for water and nutrients underground.
How does a squirrel leap between branches,Strong legs and balance help it jump far.
Why do mushrooms grow after rain,Moist soil helps them sprout quickly.
What makes a breeze feel cool,Moving air carries away body heat.
How does a caterpillar turn into a butterfly,It wraps in a cocoon and transforms inside.
Why do birds fly south,To find warmth and food during winter.
What makes pinecones open and close,They react to moisture in the air.
How does a snail move slowly,Muscles slide it forward while leaving a trail.
What makes a swing go higher,Pumping your legs adds momentum.
How does a slide stay slippery,Smooth surfaces reduce friction.
Why do bubbles pop,Air escapes and the soap film breaks.
What makes a toy squeak,Air pushes through a small hole when squeezed.
How does a ball roll downhill,Gravity pulls it down the slope.
Why do we bounce on trampolines,Springs push back when we jump.
What makes a toy light up,Batteries send power to tiny bulbs.
How does a scooter move,Pushing with your foot makes it roll.
Why do we wear helmets when biking,To protect our heads if we fall.
What makes a jump rope spin fast,Fast arm movements turn the rope quickly.
How does a toy robot walk,Motors move its legs step by step.
Why do we stack blocks,To build towers and test balance.
What makes a toy whistle sound,Air flows through and vibrates inside.
How does a flashlight shine,Batteries power a bulb that gives light.
Why do we play tag,It’s fun to run and chase friends.
What makes a swing slow down,Air resistance and gravity reduce its motion.
How does a toy drum make noise,Hitting the surface makes it vibrate.
Why do we build sandcastles,Wet sand sticks together to form shapes.
What makes a toy spin,Twisting or pushing sets it in motion.
How does a slide curve,Its shape guides your body as you go down.
Why do people fart?,"Farting happens when gas builds up inside your tummy and needs to come out. This gas comes from two places: some of it is swallowed air (like when you drink or eat fast), and some is made by tiny bacteria in your belly that help break down food. When there's too much gas, your body lets it out—and that’s a fart!It’s totally normal, and everyone does it—even animals!"
What causes hiccups?,"Hiccups happen when a muscle under your lungs—called the diaphragm—suddenly jerks or “jumps.” That muscle helps you breathe, and when it moves too quickly, it makes you suck in air fast. Your voice box snaps shut at the same time, and that makes the funny “hic!” sound.

It can happen if you eat too fast, laugh a lot, or even drink fizzy drinks. Most hiccups go away on their own, but holding your breath or sipping water slowly can help too!"
