Timestamp,Grade,Model,Type,Latency,Correct,Hallucination
1772643011.3551848,10,Llama4,Cloud,1.3452961444854736,True,False
1772643029.229048,10,phi3,Local,11.667654991149902,True,False
1772643030.26926,10,Llama4,Cloud,1.0329599380493164,True,False
1772643073.10546,10,phi3,Local,8.149394035339355,True,False
1772643073.845412,10,Llama4,Cloud,0.7376539707183838,True,False
1772643089.622467,10,phi3,Local,10.832156896591187,True,False
1772643090.539513,10,Llama4,Cloud,0.9127471446990967,True,False
1772643140.641509,10,phi3,Local,9.169419050216675,True,False
1772643141.335999,10,Llama4,Cloud,0.6911661624908447,True,False
1772643151.383073,10,phi3,Local,8.740670919418335,True,False
1772643152.2957282,10,Llama4,Cloud,0.9094860553741455,True,False
1772643187.16644,10,phi3,Local,7.100380182266235,True,False
1772643187.9882529,10,Llama4,Cloud,0.8179750442504883,True,False
1772643205.334583,10,phi3,Local,13.886734008789062,True,False
1772643206.361512,10,Llama4,Cloud,1.023533821105957,True,False
1772643254.845946,9,phi3,Local,9.265445947647095,True,False
1772643255.61423,9,Llama4,Cloud,0.7653491497039795,True,False
1772643353.811327,9,phi3,Local,8.619604110717773,True,False
1772643354.7375739,9,Llama4,Cloud,0.9231441020965576,True,False
1772643399.622145,9,phi3,Local,9.215693950653076,True,False
1772643400.402655,9,Llama4,Cloud,0.7781450748443604,True,False
1772643676.9330418,5,phi3,Local,8.478386878967285,True,False
1772643794.700386,5,phi3,Local,6.820059061050415,True,False
1772643795.502091,5,Llama4,Cloud,0.7987661361694336,True,False
1772643810.457227,5,phi3,Local,7.8294358253479,True,False
1772643811.244999,5,Llama4,Cloud,0.7844758033752441,True,False
1772643819.804974,5,phi3,Local,6.137231826782227,True,False
1772643820.463191,5,Llama4,Cloud,0.6548771858215332,True,False

